INSTNM,2018-19,2019-20,2020-21,2021-22,2022-23
Grand Canyon University,4000,4000,3700,3800,3900
Boise State University,4173,4400,4650,4609,5030
University of Idaho,None,None,None,None,None
Carroll College,4724,5190,5150,5304,5916
Montana Technological University,5462,5462,5462,5462,5626
Montana State University,None,None,None,None,None
The University of Montana,5376,5672,5776,6324,6500
Rocky Mountain College,4312,4312,4312,4442,4576
Gonzaga University,5910,6090,6330,6520,6860
Washington State University,4498,4498,4350,4350,4450
University of Washington-Seattle Campus,None,None,None,None,None
