INSTNM,2018,2019,2020,2021,2022
Grand Canyon University,45592,48573,52313,53627,54162
Boise State University,18481,19013,18109,19002,19175
University of Idaho,9776,9815,9025,9362,9620
Carroll College,1254,1181,1085,1102,1150
Montana Technological University,1663,1540,1494,1540,1483
Montana State University,14531,14338,13985,14457,14520
The University of Montana,9116,8546,7962,8162,8090
Rocky Mountain College,972,966,991,1014,1041
Gonzaga University,6501,6441,6801,6973,6873
Washington State University,28552,28770,27983,26787,24841
University of Washington-Seattle Campus,43980,44088,44380,46514,46300
