INSTNM,Percent Change Since 2017,Percent Receiving Pell
Grand Canyon University,-0.15000000000000002,0.34
Boise State University,-0.27586206896551724,0.21
University of Idaho,-0.17948717948717952,0.32
Carroll College,-0.23809523809523814,0.16
Montana Technological University,0.08333333333333326,0.26
Montana State University,-0.2272727272727273,0.17
The University of Montana,-0.05882352941176472,0.32
Rocky Mountain College,0.1212121212121211,0.37
Gonzaga University,0.4545454545454546,0.16
Washington State University,-0.0714285714285714,0.26
University of Washington-Seattle Campus,-0.09999999999999998,0.18
